Mixture	PLASM2	LAM2	PLASM1	LAM1	LAM3	CC	AMP	MET	P-value	Correlation	RMSE
Hemocytes_Control_oil_10.out.bam	0.123386805916334	0.108062451545293	0.596182690100956	0	0.0120105275461721	0.134483369671259	0.0258741552199861	0	0	0.958971557410164	0.621293117855836
Hemocytes_Control_oil_13.out.bam	0.173036514145735	0.131511394810339	0.410503428218327	0	0.0604602672270253	0.141391850935126	0.0561190610975505	0.0269774835658978	0	0.987351539598002	0.577153815197205
Hemocytes_Control_oil_1.out.bam	0.198479655591254	0.0357582541876817	0.531515243870787	0	0.0133428913255124	0.113272566351431	0.0784942218493011	0.0291371668240326	0	0.91454108665727	0.680556037471121
Hemocytes_Control_oil_5.out.bam	0.138621309948713	0.0264651915890772	0.608792035720096	0	0.0555044382183433	0.149320309081922	0.0212967154418494	0	0	0.9855105930441	0.568094632765216
Hemocytes_Oil_oil_11.out.bam	0.0533288312774087	0.122142582821727	0.540382036676541	0	0.0994923126296388	0.1633569168091	0.0212973197855836	0	0	0.985069652376155	0.531936726726924
Hemocytes_Oil_oil_14.out.bam	0.0676686222142851	0.26460728649188	0.392129980999859	0	0.204239184035621	0.0713549262583555	0	0	0	0.975607928225509	0.699131285005447
Hemocytes_Oil_oil_2.out.bam	0.131871271246579	0.153251339846011	0.471959284427559	0	0.118054410842838	0.105807105456532	0.0190565881804804	0	0	0.960432009840507	0.675011652823301
Hemocytes_Oil_oil_6.out.bam	0.0736885939577974	0.120030463752384	0.506244957341207	0	0.172588676271837	0.107797516491167	0.0196497921856082	0	0	0.933713829236998	0.678329759574218
Hemocytes_WaspExtract_oil_12.out.bam	0.0100296446800839	0.595413496286619	0.0435380313084461	0.0328837364074425	0.305644276221423	0.00178072576170189	0	0.0107100893342841	0	0.96808134949869	0.623802306829711
Hemocytes_WaspExtract_oil_15.out.bam	0.00635166597959412	0.624071194838568	0.0599523309851637	0.0483431082846197	0.251212297635527	0.00335490979712133	0	0.00671449247940613	0	0.975642017357075	0.634091973034217
Hemocytes_WaspExtract_oil_3.out.bam	0.0156329126719529	0.698039906686418	0.04283456518918	0.0506545540665486	0.179434764439103	0.00394329770622441	0	0.00945999924057298	0	0.973906703887481	0.644439979112181
Hemocytes_WaspExtract_oil_7.out.bam	0.012674605309474	0.707583756427829	0.0442610120159861	0.0364032587020542	0.184250544372707	0.00278901991849931	0	0.012037803253451	0	0.970770773823162	0.641989133157403
