,p_val,avg_logFC,pct.1,pct.2,p_val_adj,gene
FBgn0283712,0,1.425851867,0.92,0.723,0,LIMK1
FBgn0263930,0,1.415767758,0.873,0.663,0,dally
FBgn0031090,0,1.412202369,0.98,0.86,0,Rab35
FBgn0014869,0,1.408449076,0.952,0.785,0,Pglym78
FBgn0033188,0,1.402065434,0.931,0.83,0,Drat
FBgn0010395,0,1.398278066,0.921,0.777,0,Itgbn
FBgn0266417,0,1.393913169,0.959,0.81,0,CG45057
FBgn0263077,0,1.349194977,0.935,0.828,0,CG43340
FBgn0036752,0,1.345923611,0.935,0.843,0,Adgf-A
FBgn0019968,0,1.33922248,0.924,0.77,0,Khc-73
FBgn0035964,0,1.333106184,0.922,0.772,0,Dhpr
FBgn0034894,0,1.330562627,0.975,0.887,0,sigmar
FBgn0259243,0,1.329207658,0.933,0.724,0,Pka-R1
FBgn0034638,0,1.326752677,0.906,0.767,0,CG10433
FBgn0052672,0,1.32245739,0.99,0.929,0,Atg8a
FBgn0015795,0,1.322401424,0.986,0.902,0,Rab7
FBgn0032010,0,1.314619002,0.915,0.765,0,CG8086
FBgn0085354,0,1.297978197,0.883,0.7,0,CG34325
FBgn0003206,0,1.294189588,0.954,0.818,0,Ras64B
FBgn0000318,0,1.286652528,0.974,0.886,0,cl
FBgn0262160,0,1.280678004,0.962,0.813,0,CG9932
FBgn0000723,0,1.280357406,0.963,0.854,0,FER
FBgn0028546,0,1.277257212,0.972,0.867,0,ics
FBgn0035587,0,1.275016261,0.881,0.665,0,Gdap1
FBgn0030847,0,1.270597579,0.903,0.642,0,CG12991
FBgn0015765,0,1.266832078,0.959,0.878,0,p38a
FBgn0033446,0,1.265935846,0.984,0.894,0,CG1648
FBgn0259481,0,1.265639429,0.966,0.835,0,Mob2
FBgn0029131,0,1.259557113,0.972,0.868,0,Debcl
FBgn0012051,0,1.252635964,0.965,0.856,0,CalpA
FBgn0000579,0,1.250409579,0.989,0.891,0,Eno
FBgn0014133,0,1.241818967,0.979,0.877,0,bif
FBgn0001105,0,1.240007036,1,0.984,0,Gbeta13F
FBgn0025628,0,1.231474803,0.932,0.851,0,CG4199
FBgn0265191,0,1.228564594,0.911,0.699,0,Glycogenin
FBgn0000083,0,1.225309607,1,0.996,0,AnxB9
FBgn0053494,0,1.224183151,0.997,0.961,0,CG33494
FBgn0040206,0,1.220187874,0.937,0.803,0,krz
FBgn0037468,0,1.219843096,0.985,0.917,0,CG1943
FBgn0031457,0,1.217660818,0.91,0.82,0,CG3077
FBgn0039108,0,1.20447562,0.917,0.754,0,CG10232
FBgn0261565,0,1.201596909,0.861,0.697,0,Lmpt
FBgn0041789,0,1.194680503,0.958,0.833,0,Pax
FBgn0266719,0,1.192966758,0.888,0.777,0,stac
FBgn0032191,0,1.182479385,0.972,0.91,0,CG5734
FBgn0035539,0,1.167708877,0.926,0.829,0,slow
FBgn0030670,0,1.16601607,0.934,0.782,0,Pis
FBgn0028490,0,1.165772025,0.974,0.885,0,CG31705
FBgn0033906,0,1.158797874,0.991,0.899,0,CG8331
FBgn0262563,0,1.157428398,0.896,0.686,0,CG43103
FBgn0040285,0,1.157090639,0.984,0.916,0,Scamp
FBgn0036341,0,1.155085253,0.916,0.804,0,Syx13
FBgn0014029,0,1.143181327,0.98,0.888,0,Sep-02
FBgn0050460,0,1.14285865,0.849,0.683,0,CG30460
FBgn0038890,0,1.142624329,0.933,0.811,0,CG7956
FBgn0050115,0,1.138441587,0.914,0.754,0,GEFmeso
FBgn0264693,0,1.131913898,0.918,0.752,0,ens
FBgn0032499,0,1.131547473,0.908,0.752,0,Uvrag
FBgn0036877,0,1.119597837,0.863,0.731,0,CG9452
FBgn0033032,0,1.111934651,0.854,0.767,0,kune
FBgn0052528,0,1.108076772,0.943,0.828,0,parvin
FBgn0035400,0,1.103089949,0.921,0.716,0,CG11537
FBgn0003660,0,1.102086487,0.998,0.951,0,Syb
FBgn0051769,0,1.100643932,0.844,0.598,0,CG31769
FBgn0036053,0,1.098295429,0.934,0.808,0,iPLA2-VIA
FBgn0032731,0,1.09797833,0.991,0.948,0,Swip-1
FBgn0259221,0,1.096824144,0.883,0.768,0,CG42321
FBgn0027580,0,1.084061171,0.849,0.594,0,PCB
FBgn0052066,0,1.067193115,0.94,0.768,0,CG32066
FBgn0020249,0,1.06687194,0.954,0.863,0,stck
FBgn0011232,0,1.066856092,0.904,0.74,0,scat
FBgn0003205,0,1.066709632,0.984,0.919,0,Ras85D
FBgn0033635,0,1.064449385,0.999,0.98,0,Prip
FBgn0047178,0,1.063234189,0.968,0.904,0,CG32147
FBgn0000636,0,1.063166316,0.85,0.772,0,Fas3
FBgn0001149,0,1.061816278,0.999,0.988,0,GstD1
