Gene,Sample_Name,Treatment,Biological_Replica,Technical_Replica,Plate,Target_Type,Target_Name,Ct,Obs,qPCR_Date
CG6788,waspoil_4,Wasp_Extract,4,1,1,Experimental,CG6788,27.39683151,,2019_07_29
IM3,control_1,Control,1,2,1,Experimental,IM3,23.58871841,,2019_07_29
IM3,control_2,Control,2,2,1,Experimental,IM3,28.07499123,,2019_07_29
IM3,control_3,Control,3,2,1,Experimental,IM3,19.23051643,,2019_07_29
IM3,control_4,Control,4,2,1,Experimental,IM3,29.35879707,,2019_07_29
IM3,oil_1,Oil,1,2,1,Experimental,IM3,19.87833786,,2019_07_29
IM3,oil_2,Oil,2,2,1,Experimental,IM3,18.55729485,,2019_07_29
IM3,oil_3,Oil,3,2,1,Experimental,IM3,22.11790848,,2019_07_29
IM3,oil_4,Oil,4,2,1,Experimental,IM3,21.52023125,,2019_07_29
IM3,waspoil_1,Wasp_Extract,1,2,1,Experimental,IM3,20.91323662,,2019_07_29
IM3,waspoil_2,Wasp_Extract,2,2,1,Experimental,IM3,22.16244507,,2019_07_29
IM3,waspoil_3,Wasp_Extract,3,2,1,Experimental,IM3,22.1912365,,2019_07_29
IM3,waspoil_4,Wasp_Extract,4,2,1,Experimental,IM3,21.51191139,,2019_07_29
lectin-24A,control_1,Control,1,2,1,Experimental,lectin-24A,26.58492851,,2019_07_29
lectin-24A,control_2,Control,2,2,1,Experimental,lectin-24A,28.09492302,,2019_07_29
lectin-24A,control_3,Control,3,2,1,Experimental,lectin-24A,26.26221275,,2019_07_29
lectin-24A,control_4,Control,4,2,1,Experimental,lectin-24A,26.51564789,,2019_07_29
lectin-24A,oil_1,Oil,1,2,1,Experimental,lectin-24A,25.75756645,,2019_07_29
lectin-24A,oil_2,Oil,2,2,1,Experimental,lectin-24A,26.83072662,,2019_07_29
lectin-24A,oil_3,Oil,3,2,1,Experimental,lectin-24A,26.59307098,,2019_07_29
lectin-24A,oil_4,Oil,4,2,1,Experimental,lectin-24A,27.49691391,,2019_07_29
lectin-24A,waspoil_1,Wasp_Extract,1,2,1,Experimental,lectin-24A,24.48447037,,2019_07_29
lectin-24A,waspoil_2,Wasp_Extract,2,2,1,Experimental,lectin-24A,22.11121559,,2019_07_29
lectin-24A,waspoil_3,Wasp_Extract,3,2,1,Experimental,lectin-24A,24.60905838,,2019_07_29
lectin-24A,waspoil_4,Wasp_Extract,4,2,1,Experimental,lectin-24A,23.61883736,,2019_07_29
CG33461,control_1,Control,1,2,1,Experimental,CG33461,34.69781113,,2019_07_29
CG33461,control_2,Control,2,2,1,Experimental,CG33461,32.78297806,,2019_07_29
CG33461,control_3,Control,3,2,1,Experimental,CG33461,31.71970177,,2019_07_29
CG33461,control_4,Control,4,2,1,Experimental,CG33461,29.35893822,,2019_07_29
CG33461,oil_1,Oil,1,2,1,Experimental,CG33461,31.84571266,,2019_07_29
CG33461,oil_2,Oil,2,2,1,Experimental,CG33461,32.89197922,,2019_07_29
CG33461,oil_3,Oil,3,2,1,Experimental,CG33461,33.79385376,,2019_07_29
CG33461,oil_4,Oil,4,2,1,Experimental,CG33461,37.93083572,,2019_07_29
CG33461,waspoil_1,Wasp_Extract,1,2,1,Experimental,CG33461,28.95730591,,2019_07_29
CG33461,waspoil_2,Wasp_Extract,2,2,1,Experimental,CG33461,26.66939163,,2019_07_29
CG33461,waspoil_3,Wasp_Extract,3,2,1,Experimental,CG33461,28.73746681,,2019_07_29
CG33461,waspoil_4,Wasp_Extract,4,2,1,Experimental,CG33461,27.36559486,,2019_07_29
IM1,control_1,Control,1,2,1,Experimental,IM1,29.09990692,,2019_07_29
IM1,control_2,Control,2,2,1,Experimental,IM1,34.06272125,,2019_07_29
IM1,control_3,Control,3,2,1,Experimental,IM1,20.58022308,,2019_07_29
IM1,control_4,Control,4,2,1,Experimental,IM1,32.12181473,,2019_07_29
IM1,oil_1,Oil,1,2,1,Experimental,IM1,23.20425606,,2019_07_29
IM1,oil_2,Oil,2,2,1,Experimental,IM1,20.86341476,,2019_07_29
IM1,oil_3,Oil,3,2,1,Experimental,IM1,24.65026093,,2019_07_29
IM1,oil_4,Oil,4,2,1,Experimental,IM1,24.76528358,,2019_07_29
IM1,waspoil_1,Wasp_Extract,1,2,1,Experimental,IM1,22.18035507,,2019_07_29
IM1,waspoil_2,Wasp_Extract,2,2,1,Experimental,IM1,24.76528358,,2019_07_29
IM1,waspoil_3,Wasp_Extract,3,2,1,Experimental,IM1,26.33047676,,2019_07_29
IM1,waspoil_4,Wasp_Extract,4,2,1,Experimental,IM1,25.59328842,,2019_07_29
CG6788,control_1,Control,1,2,1,Experimental,CG6788,32.77950287,,2019_07_29
CG6788,control_2,Control,2,2,1,Experimental,CG6788,35.03310013,,2019_07_29
CG6788,control_3,Control,3,2,1,Experimental,CG6788,28.60724831,,2019_07_29
CG6788,control_4,Control,4,2,1,Experimental,CG6788,33.28207016,,2019_07_29
CG6788,oil_1,Oil,1,2,1,Experimental,CG6788,33.71472931,,2019_07_29
CG6788,oil_2,Oil,2,2,1,Experimental,CG6788,33.75123596,,2019_07_29
CG6788,oil_3,Oil,3,2,1,Experimental,CG6788,36.46472549,,2019_07_29
CG6788,oil_4,Oil,4,2,1,Experimental,CG6788,32.95648193,,2019_07_29
CG6788,waspoil_1,Wasp_Extract,1,2,1,Experimental,CG6788,30.45108986,,2019_07_29
CG6788,waspoil_2,Wasp_Extract,2,2,1,Experimental,CG6788,27.23571587,,2019_07_29
CG6788,waspoil_3,Wasp_Extract,3,2,1,Experimental,CG6788,28.16087151,,2019_07_29
CG6788,waspoil_4,Wasp_Extract,4,2,1,Experimental,CG6788,27.24665451,,2019_07_29
IM3,control_1,Control,1,1,1,Control,Rpl,19.68473053,,2019_07_29
IM3,control_2,Control,2,1,1,Control,Rpl,19.61462593,,2019_07_29
IM3,control_3,Control,3,1,1,Control,Rpl,20.10226059,,2019_07_29
IM3,control_4,Control,4,1,1,Control,Rpl,19.53591347,,2019_07_29
IM3,oil_1,Oil,1,1,1,Control,Rpl,20.39159966,,2019_07_29
IM3,oil_2,Oil,2,1,1,Control,Rpl,20.18871689,,2019_07_29
IM3,oil_3,Oil,3,1,1,Control,Rpl,20.38809586,,2019_07_29
IM3,oil_4,Oil,4,1,1,Control,Rpl,20.13826942,,2019_07_29
IM3,waspoil_1,Wasp_Extract,1,1,1,Control,Rpl,20.39611435,,2019_07_29
IM3,waspoil_2,Wasp_Extract,2,1,1,Control,Rpl,19.78821754,,2019_07_29
IM3,waspoil_3,Wasp_Extract,3,1,1,Control,Rpl,19.74071121,,2019_07_29
IM3,waspoil_4,Wasp_Extract,4,1,1,Control,Rpl,20.04251099,,2019_07_29
lectin-24A,control_1,Control,1,1,1,Control,Rpl,19.68473053,,2019_07_29
lectin-24A,control_2,Control,2,1,1,Control,Rpl,19.61462593,,2019_07_29
lectin-24A,control_3,Control,3,1,1,Control,Rpl,20.10226059,,2019_07_29
lectin-24A,control_4,Control,4,1,1,Control,Rpl,19.53591347,,2019_07_29
lectin-24A,oil_1,Oil,1,1,1,Control,Rpl,20.39159966,,2019_07_29
lectin-24A,oil_2,Oil,2,1,1,Control,Rpl,20.18871689,,2019_07_29
lectin-24A,oil_3,Oil,3,1,1,Control,Rpl,20.38809586,,2019_07_29
lectin-24A,oil_4,Oil,4,1,1,Control,Rpl,20.13826942,,2019_07_29
lectin-24A,waspoil_1,Wasp_Extract,1,1,1,Control,Rpl,20.39611435,,2019_07_29
lectin-24A,waspoil_2,Wasp_Extract,2,1,1,Control,Rpl,19.78821754,,2019_07_29
lectin-24A,waspoil_3,Wasp_Extract,3,1,1,Control,Rpl,19.74071121,,2019_07_29
lectin-24A,waspoil_4,Wasp_Extract,4,1,1,Control,Rpl,20.04251099,,2019_07_29
CG33461,control_1,Control,1,1,1,Control,Rpl,19.68473053,,2019_07_29
CG33461,control_2,Control,2,1,1,Control,Rpl,19.61462593,,2019_07_29
CG33461,control_3,Control,3,1,1,Control,Rpl,20.10226059,,2019_07_29
CG33461,control_4,Control,4,1,1,Control,Rpl,19.53591347,,2019_07_29
CG33461,oil_1,Oil,1,1,1,Control,Rpl,20.39159966,,2019_07_29
CG33461,oil_2,Oil,2,1,1,Control,Rpl,20.18871689,,2019_07_29
CG33461,oil_3,Oil,3,1,1,Control,Rpl,20.38809586,,2019_07_29
CG33461,oil_4,Oil,4,1,1,Control,Rpl,20.13826942,,2019_07_29
CG33461,waspoil_1,Wasp_Extract,1,1,1,Control,Rpl,20.39611435,,2019_07_29
CG33461,waspoil_2,Wasp_Extract,2,1,1,Control,Rpl,19.78821754,,2019_07_29
CG33461,waspoil_3,Wasp_Extract,3,1,1,Control,Rpl,19.74071121,,2019_07_29
CG33461,waspoil_4,Wasp_Extract,4,1,1,Control,Rpl,20.04251099,,2019_07_29
IM1,control_1,Control,1,1,1,Control,Rpl,19.68473053,,2019_07_29
IM1,control_2,Control,2,1,1,Control,Rpl,19.61462593,,2019_07_29
IM1,control_3,Control,3,1,1,Control,Rpl,20.10226059,,2019_07_29
IM1,control_4,Control,4,1,1,Control,Rpl,19.53591347,,2019_07_29
IM1,oil_1,Oil,1,1,1,Control,Rpl,20.39159966,,2019_07_29
IM1,oil_2,Oil,2,1,1,Control,Rpl,20.18871689,,2019_07_29
IM1,oil_3,Oil,3,1,1,Control,Rpl,20.38809586,,2019_07_29
IM1,oil_4,Oil,4,1,1,Control,Rpl,20.13826942,,2019_07_29
IM1,waspoil_1,Wasp_Extract,1,1,1,Control,Rpl,20.39611435,,2019_07_29
IM1,waspoil_2,Wasp_Extract,2,1,1,Control,Rpl,19.78821754,,2019_07_29
IM1,waspoil_3,Wasp_Extract,3,1,1,Control,Rpl,19.74071121,,2019_07_29
IM1,waspoil_4,Wasp_Extract,4,1,1,Control,Rpl,20.04251099,,2019_07_29
CG6788,control_1,Control,1,1,1,Control,Rpl,19.68473053,,2019_07_29
CG6788,control_2,Control,2,1,1,Control,Rpl,19.61462593,,2019_07_29
CG6788,control_3,Control,3,1,1,Control,Rpl,20.10226059,,2019_07_29
CG6788,control_4,Control,4,1,1,Control,Rpl,19.53591347,,2019_07_29
CG6788,oil_1,Oil,1,1,1,Control,Rpl,20.39159966,,2019_07_29
CG6788,oil_2,Oil,2,1,1,Control,Rpl,20.18871689,,2019_07_29
CG6788,oil_3,Oil,3,1,1,Control,Rpl,20.38809586,,2019_07_29
CG6788,oil_4,Oil,4,1,1,Control,Rpl,20.13826942,,2019_07_29
CG6788,waspoil_1,Wasp_Extract,1,1,1,Control,Rpl,20.39611435,,2019_07_29
CG6788,waspoil_2,Wasp_Extract,2,1,1,Control,Rpl,19.78821754,,2019_07_29
CG6788,waspoil_3,Wasp_Extract,3,1,1,Control,Rpl,19.74071121,,2019_07_29
CG6788,waspoil_4,Wasp_Extract,4,1,1,Control,Rpl,20.04251099,,2019_07_29
IM3,control_1,Control,1,2,1,Control,Rpl,19.74513435,,2019_07_29
IM3,control_2,Control,2,2,1,Control,Rpl,19.65669441,,2019_07_29
IM3,control_3,Control,3,2,1,Control,Rpl,20.2791729,,2019_07_29
IM3,control_4,Control,4,2,1,Control,Rpl,19.6261158,,2019_07_29
IM3,oil_1,Oil,1,2,1,Control,Rpl,20.63779259,,2019_07_29
IM3,oil_2,Oil,2,2,1,Control,Rpl,20.28820992,,2019_07_29
IM3,oil_3,Oil,3,2,1,Control,Rpl,20.50206757,,2019_07_29
IM3,oil_4,Oil,4,2,1,Control,Rpl,20.1205101,,2019_07_29
IM3,waspoil_1,Wasp_Extract,1,2,1,Control,Rpl,20.40710068,,2019_07_29
IM3,waspoil_2,Wasp_Extract,2,2,1,Control,Rpl,19.7543354,,2019_07_29
IM3,waspoil_3,Wasp_Extract,3,2,1,Control,Rpl,19.83623695,,2019_07_29
IM3,waspoil_4,Wasp_Extract,4,2,1,Control,Rpl,20.0605545,,2019_07_29
lectin-24A,control_1,Control,1,2,1,Control,Rpl,19.74513435,,2019_07_29
lectin-24A,control_2,Control,2,2,1,Control,Rpl,19.65669441,,2019_07_29
lectin-24A,control_3,Control,3,2,1,Control,Rpl,20.2791729,,2019_07_29
lectin-24A,control_4,Control,4,2,1,Control,Rpl,19.6261158,,2019_07_29
lectin-24A,oil_1,Oil,1,2,1,Control,Rpl,20.63779259,,2019_07_29
lectin-24A,oil_2,Oil,2,2,1,Control,Rpl,20.28820992,,2019_07_29
lectin-24A,oil_3,Oil,3,2,1,Control,Rpl,20.50206757,,2019_07_29
lectin-24A,oil_4,Oil,4,2,1,Control,Rpl,20.1205101,,2019_07_29
lectin-24A,waspoil_1,Wasp_Extract,1,2,1,Control,Rpl,20.40710068,,2019_07_29
lectin-24A,waspoil_2,Wasp_Extract,2,2,1,Control,Rpl,19.7543354,,2019_07_29
